# uuidna alpine overlay — GENERATED by scripts/gen-alpine-overlay. DO NOT EDIT.
# npm-ported apps outside APKINDEX; merged into catalogue at read time
# packages=2
# repo	name	version	checksum	desc	deps	provides
overlay	oh-my-pi	18.0.6-r0	Q1Nq1wihIWJNDSHX8WVIe5uMjPIfk=	Coding agent CLI with the IDE wired in — native Rust core, MCP/LSP/DAP (npm @oh-my-pi/pi-coding-agent; NOT apk)	nodejs-current	cmd:omp=18.0.6-r0
overlay	oh-my-pi-doc	18.0.6-r0	Q1boF95fsHuhQZSf7wY1pYTuRM22E=	Coding agent CLI with the IDE wired in — native Rust core, MCP/LSP/DAP (npm @oh-my-pi/pi-coding-agent; NOT apk) (documentation)		
